Time,W2,W3,W6,W8
0.01665,376.9790301,376.9794361,376.9798835,376.9800622
0.0333,376.9790181,376.9794234,376.9798681,376.9800535
0.04995,376.979006,376.9794105,376.9798527,376.9800447
0.0666,376.9789938,376.9793975,376.979837,376.9800357
0.08325,376.9789814,376.9793844,376.9798212,376.9800266
0.0999,376.978969,376.9793712,376.9798053,376.9800173
0.11655,376.9789564,376.9793578,376.9797892,376.9800079
0.1332,376.9789437,376.9793444,376.979773,376.9799983
0.14985,376.9789309,376.9793307,376.9797567,376.9799886
0.1665,376.978918,376.979317,376.9797402,376.9799787
0.18315,376.978905,376.9793031,376.9797235,376.9799687
0.1998,376.9788919,376.9792891,376.9797067,376.9799585
0.21645,376.9788787,376.979275,376.9796898,376.9799481
0.2331,376.9788653,376.9792608,376.9796728,376.9799377
0.24975,376.9788519,376.9792464,376.9796556,376.979927
0.2664,376.9788383,376.979232,376.9796382,376.9799163
0.28305,376.9788247,376.9792174,376.9796207,376.9799053
0.2997,376.9788109,376.9792026,376.9796031,376.9798943
0.31635,376.978797,376.9791878,376.9795854,376.9798831
0.333,376.978783,376.9791728,376.9795675,376.9798717
0.34965,376.978769,376.9791578,376.9795495,376.9798602
0.3663,376.9787548,376.9791426,376.9795313,376.9798486
0.38295,376.9787405,376.9791273,376.9795131,376.9798368
0.3996,376.9787261,376.9791118,376.9794946,376.9798248
0.41625,376.9787116,376.9790963,376.9794761,376.9798128
0.4329,376.978697,376.9790806,376.9794574,376.9798005
0.44955,376.9786823,376.9790648,376.9794386,376.9797882
0.4662,376.9786675,376.979049,376.9794197,376.9797757
0.48285,376.9786526,376.979033,376.9794006,376.979763
0.4995,376.9786376,376.9790168,376.9793814,376.9797502
0.51615,376.9786225,376.9790006,376.9793621,376.9797373
0.5328,376.9786073,376.9789843,376.9793427,376.9797243
0.54945,376.978592,376.9789678,376.9793231,376.9797111
0.5661,376.9785766,376.9789513,376.9793034,376.9796977
0.58275,376.9785612,376.9789346,376.9792836,376.9796842
0.5994,376.9785456,376.9789178,376.9792637,376.9796706
0.61605,376.9785299,376.978901,376.9792436,376.9796569
0.6327,376.9785141,376.978884,376.9792235,376.979643
0.64935,376.9784983,376.9788669,376.9792032,376.979629
0.666,376.9784823,376.9788497,376.9791828,376.9796148
0.68265,376.9784663,376.9788324,376.9791622,376.9796006
0.6993,376.9784502,376.978815,376.9791416,376.9795861
0.71595,376.9784339,376.9787974,376.9791208,376.9795716
0.7326,376.9784176,376.9787798,376.9791,376.9795569
0.74925,376.9784012,376.9787621,376.979079,376.9795421
0.7659,376.9783847,376.9787443,376.9790579,376.9795272
0.78255,376.9783682,376.9787264,376.9790367,376.9795121
0.7992,376.9783515,376.9787084,376.9790153,376.9794969
0.81585,376.9783348,376.9786902,376.9789939,376.9794816
0.8325,376.9783179,376.978672,376.9789724,376.9794661
0.84915,376.978301,376.9786537,376.9789507,376.9794505
0.8658,376.978284,376.9786353,376.9789289,376.9794348
0.88245,376.9782669,376.9786168,376.9789071,376.979419
0.8991,376.9782497,376.9785982,376.9788851,376.979403
0.91575,376.9782325,376.9785795,376.978863,376.979387
0.9324,376.9782152,376.9785607,376.9788408,376.9793708
0.94905,376.9781978,376.9785419,376.9788186,376.9793544
0.9657,376.9781803,376.9785229,376.9787962,376.979338
0.98235,376.9781627,376.9785039,376.9787737,376.9793214
0.999,376.9781451,376.9784847,376.9787511,376.9793047
1.01565,376.9781273,376.9784655,376.9787284,376.9792879
1.0323,376.9781095,376.9784461,376.9787056,376.979271
1.04895,376.9780917,376.9784267,376.9786827,376.9792539
1.0656,376.9780737,376.9784072,376.9786598,376.9792368
1.08225,376.9780557,376.9783877,376.9786367,376.9792195
1.0989,376.9780376,376.978368,376.9786135,376.9792021
1.11555,376.9780194,376.9783482,376.9785903,376.9791846
1.1322,376.9780012,376.9783284,376.9785669,376.9791669
1.14885,376.9779829,376.9783085,376.9785435,376.9791492
1.1655,376.9779645,376.9782885,376.9785199,376.9791314
1.18215,376.9779461,376.9782684,376.9784963,376.9791134
1.1988,376.9779275,376.9782482,376.9784726,376.9790953
1.21545,376.977909,376.978228,376.9784488,376.9790771
1.2321,376.9778903,376.9782077,376.9784249,376.9790588
1.24875,376.9778716,376.9781873,376.978401,376.9790404
1.2654,376.9778528,376.9781668,376.9783769,376.9790219
1.28205,376.9778339,376.9781463,376.9783528,376.9790033
1.2987,376.977815,376.9781257,376.9783286,376.9789845
1.31535,376.9777961,376.978105,376.9783043,376.9789657
1.332,376.977777,376.9780842,376.9782799,376.9789468
1.34865,376.9777579,376.9780634,376.9782554,376.9789277
1.3653,376.9777388,376.9780424,376.9782309,376.9789086
1.38195,376.9777195,376.9780215,376.9782063,376.9788893
1.3986,376.9777003,376.9780004,376.9781816,376.97887
1.41525,376.9776809,376.9779793,376.9781568,376.9788505
1.4319,376.9776615,376.9779581,376.978132,376.978831
1.44855,376.9776421,376.9779369,376.9781071,376.9788113
1.4652,376.9776226,376.9779155,376.9780821,376.9787916
1.48185,376.977603,376.9778942,376.978057,376.9787717
1.4985,376.9775834,376.9778727,376.9780319,376.9787518
1.51515,376.9775637,376.9778512,376.9780067,376.9787317
1.5318,376.977544,376.9778296,376.9779815,376.9787116
1.54845,376.9775243,376.977808,376.9779561,376.9786914
1.5651,376.9775044,376.9777863,376.9779307,376.978671
1.58175,376.9774846,376.9777645,376.9779053,376.9786506
1.5984,376.9774646,376.9777427,376.9778798,376.9786301
1.61505,376.9774447,376.9777209,376.9778542,376.9786095
1.6317,376.9774247,376.9776989,376.9778285,376.9785888
1.64835,376.9774046,376.977677,376.9778028,376.9785681
1.665,376.9773845,376.9776549,376.9777771,376.9785472
1.68165,376.9773643,376.9776328,376.9777513,376.9785262
1.6983,376.9773442,376.9776107,376.9777254,376.9785052
1.71495,376.9773239,376.9775885,376.9776995,376.9784841
1.7316,376.9773036,376.9775662,376.9776735,376.9784629
1.74825,376.9772833,376.9775439,376.9776474,376.9784416
1.7649,376.977263,376.9775216,376.9776213,376.9784202
1.78155,376.9772426,376.9774992,376.9775952,376.9783987
1.7982,376.9772221,376.9774768,376.977569,376.9783772
1.81485,376.9772016,376.9774543,376.9775428,376.9783556
1.8315,376.9771811,376.9774317,376.9775165,376.9783339
1.84815,376.9771606,376.9774092,376.9774901,376.9783121
1.8648,376.97714,376.9773865,376.9774638,376.9782903
1.88145,376.9771194,376.9773639,376.9774373,376.9782683
1.8981,376.9770987,376.9773412,376.9774109,376.9782463
1.91475,376.977078,376.9773184,376.9773843,376.9782242
1.9314,376.9770573,376.9772956,376.9773578,376.9782021
1.94805,376.9770366,376.9772728,376.9773312,376.9781799
1.9647,376.9770158,376.9772499,376.9773046,376.9781576
1.98135,376.976995,376.977227,376.9772779,376.9781352
1.998,376.9748157,376.9461173,376.8163135,376.8841071
2.01465,376.942491,376.8841951,376.612054,376.7454272
2.0313,376.8997043,376.817873,376.4199379,376.6068066
2.04795,376.8532416,376.7540362,376.2536392,376.4805434
2.0646,376.8051714,376.6939573,376.1165022,376.3700408
2.08125,376.7563822,376.6378722,376.0097885,376.276801
2.0979,376.698161,376.5946144,376.0179241,376.2445539
2.11455,376.6639291,376.5976223,376.1809599,376.3182097
2.1312,376.6515716,376.6204793,376.3810929,376.4305331
2.14785,376.6475334,376.646634,376.5809774,376.550729
2.1645,376.6482064,376.6727442,376.7703006,376.67018
2.18115,376.6524895,376.6980051,376.9429357,376.7844154
2.1978,376.6598073,376.7219861,377.0938091,376.8898155
2.21445,376.669639,376.7443033,377.2188768,376.9832463
2.2311,376.6814162,376.7645937,377.3153005,377.0621142
2.24775,376.6945147,376.7825248,377.3815208,377.1244419
2.2644,376.7082743,376.7978057,377.4172449,377.1689168
2.28105,376.7220286,376.8101961,377.4233734,377.1949121
2.2977,376.7351358,376.8195152,377.4018818,377.2024808
