Time,W2,W3,W6,W8
0.01665,376.9748521,376.9748239,376.9747052,376.9751557
0.0333,376.9748538,376.9748228,376.9747046,376.9751522
0.04995,376.9748557,376.9748218,376.974704,376.9751487
0.0666,376.9748575,376.9748208,376.9747035,376.9751453
0.08325,376.9748594,376.9748198,376.9747031,376.9751419
0.0999,376.9748614,376.9748189,376.9747027,376.9751385
0.11655,376.9748634,376.9748181,376.9747024,376.9751352
0.1332,376.9748654,376.9748173,376.9747021,376.9751319
0.14985,376.9748675,376.9748165,376.9747019,376.9751286
0.1665,376.9748696,376.9748158,376.9747017,376.9751254
0.18315,376.9748718,376.9748151,376.9747015,376.9751222
0.1998,376.974874,376.9748145,376.9747015,376.975119
0.21645,376.9748763,376.9748139,376.9747014,376.9751159
0.2331,376.9748786,376.9748134,376.9747014,376.9751128
0.24975,376.9748809,376.9748129,376.9747015,376.9751097
0.2664,376.9748833,376.9748124,376.9747016,376.9751067
0.28305,376.9748857,376.974812,376.9747018,376.9751037
0.2997,376.9748882,376.9748117,376.974702,376.9751007
0.31635,376.9748907,376.9748114,376.9747023,376.9750978
0.333,376.9748933,376.9748111,376.9747026,376.9750949
0.34965,376.9748959,376.9748109,376.974703,376.9750921
0.3663,376.9748985,376.9748107,376.9747034,376.9750892
0.38295,376.9749012,376.9748106,376.9747038,376.9750864
0.3996,376.9749039,376.9748105,376.9747044,376.9750837
0.41625,376.9749067,376.9748105,376.9747049,376.975081
0.4329,376.9749095,376.9748105,376.9747055,376.9750783
0.44955,376.9749123,376.9748106,376.9747062,376.9750756
0.4662,376.9749152,376.9748107,376.9747069,376.975073
0.48285,376.9749182,376.9748108,376.9747077,376.9750705
0.4995,376.9749211,376.974811,376.9747085,376.9750679
0.51615,376.9749241,376.9748113,376.9747094,376.9750654
0.5328,376.9749272,376.9748116,376.9747103,376.9750629
0.54945,376.9749303,376.9748119,376.9747113,376.9750605
0.5661,376.9749334,376.9748123,376.9747123,376.9750581
0.58275,376.9749366,376.9748127,376.9747133,376.9750557
0.5994,376.9749398,376.9748132,376.9747145,376.9750534
0.61605,376.9749431,376.9748137,376.9747156,376.9750511
0.6327,376.9749464,376.9748143,376.9747168,376.9750489
0.64935,376.9749497,376.9748149,376.9747181,376.9750467
0.666,376.9749531,376.9748155,376.9747194,376.9750445
0.68265,376.9749565,376.9748162,376.9747208,376.9750423
0.6993,376.97496,376.974817,376.9747222,376.9750402
0.71595,376.9749634,376.9748178,376.9747237,376.9750382
0.7326,376.974967,376.9748186,376.9747252,376.9750361
0.74925,376.9749706,376.9748195,376.9747267,376.9750341
0.7659,376.9749742,376.9748204,376.9747283,376.9750322
0.78255,376.9749778,376.9748214,376.97473,376.9750302
0.7992,376.9749815,376.9748224,376.9747317,376.9750284
0.81585,376.9749852,376.9748234,376.9747334,376.9750265
0.8325,376.974989,376.9748245,376.9747352,376.9750247
0.84915,376.9749928,376.9748257,376.9747371,376.9750229
0.8658,376.9749966,376.9748269,376.974739,376.9750212
0.88245,376.9750005,376.9748281,376.9747409,376.9750195
0.8991,376.9750044,376.9748294,376.9747429,376.9750178
0.91575,376.9750084,376.9748307,376.974745,376.9750162
0.9324,376.9750124,376.9748321,376.9747471,376.9750146
0.94905,376.9750164,376.9748335,376.9747492,376.9750131
0.9657,376.9750204,376.974835,376.9747514,376.9750116
0.98235,376.9750245,376.9748365,376.9747536,376.9750101
0.999,376.9750287,376.9748381,376.9747559,376.9750087
1.01565,376.9750328,376.9748397,376.9747582,376.9750073
1.0323,376.975037,376.9748413,376.9747606,376.9750059
1.04895,376.9750413,376.974843,376.974763,376.9750046
1.0656,376.9750456,376.9748447,376.9747655,376.9750033
1.08225,376.9750499,376.9748465,376.974768,376.975002
1.0989,376.9750542,376.9748483,376.9747706,376.9750008
1.11555,376.9750586,376.9748502,376.9747732,376.9749997
1.1322,376.975063,376.9748521,376.9747759,376.9749985
1.14885,376.9750675,376.974854,376.9747786,376.9749974
1.1655,376.975072,376.974856,376.9747813,376.9749964
1.18215,376.9750765,376.974858,376.9747841,376.9749954
1.1988,376.975081,376.9748601,376.974787,376.9749944
1.21545,376.9750856,376.9748622,376.9747899,376.9749935
1.2321,376.9750903,376.9748644,376.9747928,376.9749926
1.24875,376.9750949,376.9748666,376.9747958,376.9749917
1.2654,376.9750996,376.9748689,376.9747988,376.9749909
1.28205,376.9751043,376.9748712,376.9748019,376.9749901
1.2987,376.9751091,376.9748735,376.974805,376.9749893
1.31535,376.9751139,376.9748759,376.9748082,376.9749886
1.332,376.9751187,376.9748783,376.9748114,376.974988
1.34865,376.9751235,376.9748808,376.9748146,376.9749873
1.3653,376.9751284,376.9748833,376.9748179,376.9749867
1.38195,376.9751333,376.9748858,376.9748213,376.9749862
1.3986,376.9751383,376.9748884,376.9748247,376.9749857
1.41525,376.9751433,376.974891,376.9748281,376.9749852
1.4319,376.9751483,376.9748937,376.9748316,376.9749848
1.44855,376.9751533,376.9748964,376.9748351,376.9749844
1.4652,376.9751584,376.9748992,376.9748386,376.974984
1.48185,376.9751635,376.974902,376.9748423,376.9749837
1.4985,376.9751686,376.9749048,376.9748459,376.9749834
1.51515,376.9751738,376.9749077,376.9748496,376.9749831
1.5318,376.975179,376.9749106,376.9748533,376.9749829
1.54845,376.9751842,376.9749136,376.9748571,376.9749828
1.5651,376.9751895,376.9749166,376.9748609,376.9749826
1.58175,376.9751947,376.9749196,376.9748648,376.9749826
1.5984,376.9752,376.9749227,376.9748687,376.9749825
1.61505,376.9752054,376.9749258,376.9748727,376.9749825
1.6317,376.9752108,376.974929,376.9748767,376.9749825
1.64835,376.9752161,376.9749322,376.9748807,376.9749826
1.665,376.9752216,376.9749354,376.9748848,376.9749827
1.68165,376.975227,376.9749387,376.9748889,376.9749828
1.6983,376.9752325,376.9749421,376.9748931,376.974983
1.71495,376.975238,376.9749454,376.9748973,376.9749832
1.7316,376.9752435,376.9749488,376.9749015,376.9749835
1.74825,376.9752491,376.9749523,376.9749058,376.9749838
1.7649,376.9752547,376.9749557,376.9749101,376.9749841
1.78155,376.9752603,376.9749593,376.9749145,376.9749845
1.7982,376.9752659,376.9749628,376.9749189,376.9749849
1.81485,376.9752716,376.9749664,376.9749233,376.9749853
1.8315,376.9752773,376.9749701,376.9749278,376.9749858
1.84815,376.975283,376.9749737,376.9749323,376.9749864
1.8648,376.9752887,376.9749774,376.9749369,376.9749869
1.88145,376.9752945,376.9749812,376.9749415,376.9749875
1.8981,376.9753003,376.974985,376.9749461,376.9749882
1.91475,376.9753061,376.9749888,376.9749508,376.9749888
1.9314,376.9753119,376.9749927,376.9749556,376.9749896
1.94805,376.9753178,376.9749966,376.9749603,376.9749903
1.9647,376.9753237,376.9750005,376.9749651,376.9749911
1.98135,376.9753296,376.9750045,376.9749699,376.9749919
1.998,376.9812344,376.9815937,377.009829,376.989647
2.01465,376.9904015,376.9914058,377.0483182,377.0099366
2.0313,377.0000749,377.0010969,377.0800616,377.0287978
2.04795,377.0097741,377.0104764,377.1058852,377.0458784
2.0646,377.0193163,377.0195561,377.1259797,377.0610324
2.08125,377.0285997,377.0283517,377.1404448,377.0741452
2.0979,377.0375537,377.0368663,377.1494963,377.0851456
2.11455,377.0461281,377.0450968,377.153518,377.0940227
2.1312,377.0542912,377.0530387,377.153054,377.1008325
2.14785,377.0620295,377.0606886,377.1487815,377.1056962
2.1645,377.069347,377.0680464,377.1414745,377.1087953
2.18115,377.0762644,377.0751165,377.1319656,377.1103629
