Time,del_2,del_3,del_6,del_9,del_10,del_13
0.01665,-0.0871547003,-0.2225847399,-0.2522325148,-0.2596233237,-0.2632471651,-0.2678172214
0.0333,-0.08715486827,-0.2225853917,-0.2522331586,-0.2596239542,-0.2632478286,-0.2678179249
0.04995,-0.08715503933,-0.2225860498,-0.2522338087,-0.2596245905,-0.263248498,-0.2678186346
0.0666,-0.08715521348,-0.2225867142,-0.252234465,-0.2596252325,-0.2632491731,-0.2678193503
0.08325,-0.08715539071,-0.2225873849,-0.2522351276,-0.2596258802,-0.2632498541,-0.2678200721
0.0999,-0.08715557102,-0.2225880617,-0.2522357964,-0.2596265335,-0.2632505407,-0.2678207998
0.11655,-0.0871557544,-0.2225887448,-0.2522364714,-0.2596271925,-0.2632512331,-0.2678215336
0.1332,-0.08715594083,-0.2225894341,-0.2522371526,-0.2596278571,-0.2632519311,-0.2678222733
0.14985,-0.08715613032,-0.2225901295,-0.2522378398,-0.2596285273,-0.2632526348,-0.2678230189
0.1665,-0.08715632285,-0.2225908311,-0.2522385332,-0.259629203,-0.2632533442,-0.2678237703
0.18315,-0.08715651841,-0.2225915387,-0.2522392326,-0.2596298843,-0.2632540591,-0.2678245277
0.1998,-0.08715671699,-0.2225922524,-0.252239938,-0.2596305711,-0.2632547795,-0.2678252908
0.21645,-0.08715691859,-0.2225929721,-0.2522406494,-0.2596312633,-0.2632555055,-0.2678260597
0.2331,-0.0871571232,-0.2225936978,-0.2522413668,-0.2596319609,-0.263256237,-0.2678268344
0.24975,-0.08715733081,-0.2225944294,-0.2522420902,-0.259632664,-0.2632569739,-0.2678276148
0.2664,-0.08715754141,-0.222595167,-0.2522428194,-0.2596333724,-0.2632577163,-0.2678284009
0.28305,-0.08715775498,-0.2225959105,-0.2522435545,-0.2596340861,-0.2632584641,-0.2678291926
0.2997,-0.08715797153,-0.2225966598,-0.2522442955,-0.2596348052,-0.2632592172,-0.2678299899
0.31635,-0.08715819103,-0.222597415,-0.2522450423,-0.2596355296,-0.2632599757,-0.2678307928
0.333,-0.08715841349,-0.2225981759,-0.2522457948,-0.2596362592,-0.2632607395,-0.2678316013
0.34965,-0.08715863889,-0.2225989427,-0.2522465531,-0.259636994,-0.2632615085,-0.2678324153
0.3663,-0.08715886722,-0.2225997152,-0.2522473171,-0.259637734,-0.2632622828,-0.2678332347
0.38295,-0.08715909847,-0.2226004933,-0.2522480868,-0.2596384792,-0.2632630622,-0.2678340596
0.3996,-0.08715933263,-0.2226012772,-0.2522488621,-0.2596392295,-0.2632638469,-0.2678348899
0.41625,-0.08715956969,-0.2226020667,-0.2522496431,-0.2596399848,-0.2632646367,-0.2678357255
0.4329,-0.08715980964,-0.2226028617,-0.2522504296,-0.2596407453,-0.2632654315,-0.2678365665
0.44955,-0.08716005248,-0.2226036624,-0.2522512217,-0.2596415107,-0.2632662315,-0.2678374128
0.4662,-0.08716029818,-0.2226044686,-0.2522520193,-0.2596422811,-0.2632670365,-0.2678382644
0.48285,-0.08716054674,-0.2226052802,-0.2522528223,-0.2596430566,-0.2632678464,-0.2678391211
0.4995,-0.08716079814,-0.2226060974,-0.2522536308,-0.2596438369,-0.2632686614,-0.2678399831
0.51615,-0.08716105239,-0.2226069199,-0.2522544447,-0.2596446221,-0.2632694813,-0.2678408502
0.5328,-0.08716130946,-0.2226077479,-0.252255264,-0.2596454122,-0.263270306,-0.2678417224
0.54945,-0.08716156934,-0.2226085812,-0.2522560886,-0.2596462071,-0.2632711356,-0.2678425997
0.5661,-0.08716183203,-0.2226094198,-0.2522569185,-0.2596470068,-0.2632719701,-0.2678434821
0.58275,-0.08716209751,-0.2226102638,-0.2522577537,-0.2596478112,-0.2632728093,-0.2678443694
0.5994,-0.08716236577,-0.2226111129,-0.2522585941,-0.2596486204,-0.2632736533,-0.2678452617
0.61605,-0.08716263679,-0.2226119673,-0.2522594397,-0.2596494342,-0.263274502,-0.2678461589
0.6327,-0.08716291058,-0.2226128268,-0.2522602905,-0.2596502527,-0.2632753553,-0.267847061
0.64935,-0.0871631871,-0.2226136915,-0.2522611464,-0.2596510758,-0.2632762133,-0.267847968
0.666,-0.08716346636,-0.2226145613,-0.2522620074,-0.2596519035,-0.2632770759,-0.2678488798
0.68265,-0.08716374834,-0.2226154362,-0.2522628734,-0.2596527358,-0.2632779431,-0.2678497963
