Time,del_2,del_3,del_6,del_8,del_10,del_13
0.01665,-0.08725895897,-0.2228029955,-0.2524650631,-0.7559633398,-0.2634587083,-0.2680498698
0.0333,-0.08725900175,-0.2228030337,-0.2524650972,-0.7559634906,-0.263458731,-0.2680498863
0.04995,-0.08725904346,-0.2228030697,-0.2524651291,-0.7559636397,-0.2634587517,-0.2680499005
0.0666,-0.08725908411,-0.2228031034,-0.2524651589,-0.755963787,-0.2634587704,-0.2680499127
0.08325,-0.08725912368,-0.2228031348,-0.2524651866,-0.7559639326,-0.2634587872,-0.2680499227
0.0999,-0.08725916218,-0.222803164,-0.2524652121,-0.7559640764,-0.263458802,-0.2680499306
0.11655,-0.08725919961,-0.2228031908,-0.2524652355,-0.7559642185,-0.2634588148,-0.2680499363
0.1332,-0.08725923596,-0.2228032153,-0.2524652568,-0.7559643589,-0.2634588256,-0.2680499399
0.14985,-0.08725927123,-0.2228032375,-0.252465276,-0.7559644974,-0.2634588345,-0.2680499414
0.1665,-0.08725930543,-0.2228032575,-0.252465293,-0.7559646342,-0.2634588413,-0.2680499407
0.18315,-0.08725933855,-0.2228032751,-0.252465308,-0.7559647692,-0.2634588462,-0.2680499379
0.1998,-0.0872593706,-0.2228032905,-0.2524653208,-0.7559649025,-0.2634588491,-0.268049933
0.21645,-0.08725940156,-0.2228033035,-0.2524653315,-0.7559650339,-0.2634588501,-0.268049926
0.2331,-0.08725943144,-0.2228033143,-0.25246534,-0.7559651636,-0.263458849,-0.2680499168
0.24975,-0.08725946023,-0.2228033228,-0.2524653464,-0.7559652915,-0.263458846,-0.2680499055
0.2664,-0.08725948795,-0.2228033289,-0.2524653508,-0.7559654175,-0.263458841,-0.268049892
0.28305,-0.08725951458,-0.2228033328,-0.2524653529,-0.7559655418,-0.263458834,-0.2680498764
0.2997,-0.08725954012,-0.2228033344,-0.252465353,-0.7559656643,-0.263458825,-0.2680498587
0.31635,-0.08725956458,-0.2228033337,-0.2524653509,-0.7559657849,-0.2634588141,-0.2680498389
0.333,-0.08725958795,-0.2228033307,-0.2524653468,-0.7559659037,-0.2634588012,-0.268049817
0.34965,-0.08725961023,-0.2228033254,-0.2524653405,-0.7559660207,-0.2634587863,-0.2680497929
0.3663,-0.08725963143,-0.2228033178,-0.252465332,-0.7559661359,-0.2634587695,-0.2680497667
0.38295,-0.08725965154,-0.222803308,-0.2524653215,-0.7559662492,-0.2634587506,-0.2680497384
0.3996,-0.08725967055,-0.2228032958,-0.2524653088,-0.7559663607,-0.2634587298,-0.268049708
0.41625,-0.08725968848,-0.2228032814,-0.2524652941,-0.7559664704,-0.2634587071,-0.2680496754
0.4329,-0.08725970532,-0.2228032646,-0.2524652772,-0.7559665782,-0.2634586824,-0.2680496408
0.44955,-0.08725972107,-0.2228032456,-0.2524652582,-0.7559666842,-0.2634586557,-0.268049604
0.4662,-0.08725973572,-0.2228032243,-0.252465237,-0.7559667883,-0.263458627,-0.2680495651
0.48285,-0.08725974929,-0.2228032007,-0.2524652138,-0.7559668905,-0.2634585964,-0.2680495241
0.4995,-0.08725976176,-0.2228031748,-0.2524651885,-0.7559669909,-0.2634585638,-0.268049481
0.51615,-0.08725977314,-0.2228031467,-0.252465161,-0.7559670895,-0.2634585293,-0.2680494358
0.5328,-0.08725978342,-0.2228031163,-0.2524651315,-0.7559671861,-0.2634584928,-0.2680493886
0.54945,-0.08725979262,-0.2228030836,-0.2524650998,-0.7559672809,-0.2634584543,-0.2680493392
0.5661,-0.08725980072,-0.2228030486,-0.252465066,-0.7559673739,-0.2634584139,-0.2680492877
0.58275,-0.08725980773,-0.2228030114,-0.2524650301,-0.7559674649,-0.2634583716,-0.2680492341
0.5994,-0.08725981365,-0.2228029718,-0.2524649922,-0.7559675541,-0.2634583273,-0.2680491784
0.61605,-0.08725981847,-0.2228029301,-0.2524649521,-0.7559676413,-0.2634582811,-0.2680491207
0.6327,-0.08725982221,-0.222802886,-0.25246491,-0.7559677267,-0.2634582329,-0.2680490608
0.64935,-0.08725982484,-0.2228028397,-0.2524648657,-0.7559678102,-0.2634581828,-0.2680489989
0.666,-0.08725982639,-0.2228027911,-0.2524648194,-0.7559678918,-0.2634581307,-0.2680489349
0.68265,-0.08725982685,-0.2228027403,-0.2524647709,-0.7559679715,-0.2634580767,-0.2680488688
0.6993,-0.08725982621,-0.2228026872,-0.2524647204,-0.7559680494,-0.2634580208,-0.2680488007
0.71595,-0.08725982448,-0.2228026319,-0.2524646678,-0.7559681253,-0.2634579629,-0.2680487305
0.7326,-0.08725982166,-0.2228025743,-0.2524646131,-0.7559681993,-0.2634579031,-0.2680486582
0.74925,-0.08725981775,-0.2228025144,-0.2524645564,-0.7559682714,-0.2634578414,-0.2680485839
0.7659,-0.08725981275,-0.2228024524,-0.2524644975,-0.7559683416,-0.2634577778,-0.2680485075
0.78255,-0.08725980665,-0.222802388,-0.2524644366,-0.7559684098,-0.2634577123,-0.268048429
0.7992,-0.08725979947,-0.2228023215,-0.2524643737,-0.7559684762,-0.2634576448,-0.2680483485
0.81585,-0.0872597912,-0.2228022527,-0.2524643086,-0.7559685406,-0.2634575754,-0.268048266
0.8325,-0.08725978184,-0.2228021817,-0.2524642415,-0.7559686032,-0.2634575042,-0.2680481814
0.84915,-0.08725977139,-0.2228021084,-0.2524641724,-0.7559686638,-0.263457431,-0.2680480948
0.8658,-0.08725975986,-0.222802033,-0.2524641011,-0.7559687225,-0.2634573559,-0.2680480061
0.88245,-0.08725974724,-0.2228019553,-0.2524640279,-0.7559687792,-0.2634572789,-0.2680479154
0.8991,-0.08725973354,-0.2228018754,-0.2524639526,-0.755968834,-0.2634572001,-0.2680478227
0.91575,-0.08725971875,-0.2228017932,-0.2524638752,-0.7559688869,-0.2634571193,-0.268047728
0.9324,-0.08725970287,-0.2228017089,-0.2524637958,-0.7559689379,-0.2634570367,-0.2680476312
