Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
0.01665,1.044669118,1.00969273,1.069663447,1.089663695,1.032750101,1.046856942
0.0333,1.044669993,1.009694096,1.069664892,1.089665418,1.032751414,1.046858319
0.04995,1.044670865,1.009695457,1.06966633,1.089667138,1.032752722,1.046859689
0.0666,1.044671735,1.009696812,1.069667762,1.089668852,1.032754023,1.046861054
0.08325,1.044672601,1.009698161,1.069669188,1.089670562,1.032755319,1.046862411
0.0999,1.044673465,1.009699504,1.069670608,1.089672268,1.032756609,1.046863763
0.11655,1.044674326,1.00970084,1.069672021,1.089673969,1.032757892,1.046865108
0.1332,1.044675184,1.009702171,1.069673428,1.089675665,1.032759169,1.046866446
0.14985,1.04467604,1.009703495,1.069674828,1.089677357,1.03276044,1.046867778
0.1665,1.044676892,1.009704814,1.069676222,1.089679043,1.032761705,1.046869103
0.18315,1.044677741,1.009706125,1.069677609,1.089680725,1.032762963,1.046870421
0.1998,1.044678587,1.009707431,1.069678989,1.089682401,1.032764215,1.046871733
0.21645,1.044679431,1.00970873,1.069680362,1.089684073,1.03276546,1.046873038
0.2331,1.044680271,1.009710023,1.069681729,1.089685739,1.032766699,1.046874335
0.24975,1.044681108,1.009711309,1.069683089,1.0896874,1.032767932,1.046875626
0.2664,1.044681941,1.009712588,1.069684442,1.089689056,1.032769158,1.04687691
0.28305,1.044682772,1.009713861,1.069685788,1.089690707,1.032770377,1.046878187
0.2997,1.044683599,1.009715128,1.069687127,1.089692352,1.032771589,1.046879457
0.31635,1.044684424,1.009716387,1.069688459,1.089693991,1.032772795,1.04688072
0.333,1.044685244,1.00971764,1.069689784,1.089695625,1.032773994,1.046881976
0.34965,1.044686062,1.009718886,1.069691102,1.089697254,1.032775186,1.046883224
0.3663,1.044686876,1.009720125,1.069692412,1.089698877,1.032776372,1.046884465
0.38295,1.044687687,1.009721358,1.069693715,1.089700494,1.03277755,1.046885699
0.3996,1.044688494,1.009722583,1.069695011,1.089702105,1.032778721,1.046886925
0.41625,1.044689298,1.009723801,1.0696963,1.089703711,1.032779886,1.046888144
0.4329,1.044690099,1.009725013,1.069697581,1.08970531,1.032781043,1.046889356
0.44955,1.044690896,1.009726217,1.069698854,1.089706904,1.032782193,1.04689056
0.4662,1.044691689,1.009727414,1.06970012,1.089708491,1.032783336,1.046891757
0.48285,1.044692479,1.009728604,1.069701379,1.089710073,1.032784472,1.046892945
0.4995,1.044693265,1.009729786,1.06970263,1.089711648,1.032785601,1.046894127
0.51615,1.044694048,1.009730962,1.069703873,1.089713217,1.032786722,1.0468953
0.5328,1.044694826,1.00973213,1.069705108,1.08971478,1.032787836,1.046896466
0.54945,1.044695602,1.00973329,1.069706336,1.089716336,1.032788943,1.046897624
0.5661,1.044696373,1.009734443,1.069707556,1.089717886,1.032790042,1.046898774
0.58275,1.044697141,1.009735589,1.069708768,1.089719429,1.032791134,1.046899916
0.5994,1.044697904,1.009736727,1.069709972,1.089720966,1.032792218,1.046901051
0.61605,1.044698665,1.009737858,1.069711168,1.089722496,1.032793295,1.046902177
0.6327,1.044699421,1.009738981,1.069712357,1.08972402,1.032794364,1.046903295
0.64935,1.044700173,1.009740096,1.069713537,1.089725537,1.032795426,1.046904406
0.666,1.044700921,1.009741204,1.069714709,1.089727047,1.03279648,1.046905508
0.68265,1.044701666,1.009742304,1.069715872,1.08972855,1.032797526,1.046906602
0.6993,1.044702406,1.009743396,1.069717028,1.089730046,1.032798565,1.046907688
0.71595,1.044703143,1.00974448,1.069718175,1.089731536,1.032799595,1.046908765
0.7326,1.044703875,1.009745557,1.069719315,1.089733018,1.032800618,1.046909835
0.74925,1.044704603,1.009746625,1.069720445,1.089734493,1.032801633,1.046910896
0.7659,1.044705328,1.009747686,1.069721568,1.089735961,1.03280264,1.046911949
0.78255,1.044706048,1.009748739,1.069722682,1.089737422,1.032803639,1.046912993
0.7992,1.044706764,1.009749783,1.069723787,1.089738876,1.03280463,1.046914029
0.81585,1.044707475,1.00975082,1.069724884,1.089740322,1.032805614,1.046915056
0.8325,1.044708183,1.009751848,1.069725973,1.089741761,1.032806589,1.046916075
0.84915,1.044708886,1.009752869,1.069727053,1.089743193,1.032807556,1.046917085
0.8658,1.044709585,1.009753881,1.069728124,1.089744617,1.032808514,1.046918087
0.88245,1.04471028,1.009754884,1.069729187,1.089746033,1.032809465,1.04691908
0.8991,1.04471097,1.00975588,1.069730241,1.089747442,1.032810408,1.046920065
0.91575,1.044711657,1.009756867,1.069731286,1.089748844,1.032811342,1.04692104
0.9324,1.044712338,1.009757846,1.069732322,1.089750237,1.032812268,1.046922008
0.94905,1.044713016,1.009758817,1.06973335,1.089751623,1.032813185,1.046922966
0.9657,1.044713689,1.009759779,1.069734369,1.089753001,1.032814095,1.046923915
0.98235,1.044714357,1.009760733,1.069735379,1.089754371,1.032814996,1.046924856
0.999,1.044715021,1.009761678,1.069736379,1.089755734,1.032815888,1.046925787
1.01565,1.04471568,1.009762615,1.069737371,1.089757088,1.032816772,1.04692671
1.0323,1.044716335,1.009763543,1.069738354,1.089758434,1.032817648,1.046927624
1.04895,1.044716986,1.009764462,1.069739328,1.089759772,1.032818515,1.046928529
1.0656,1.044717631,1.009765373,1.069740293,1.089761102,1.032819373,1.046929425
1.08225,1.044718273,1.009766275,1.069741248,1.089762424,1.032820223,1.046930311
1.0989,1.044718909,1.009767169,1.069742194,1.089763738,1.032821064,1.046931189
1.11555,1.044719541,1.009768053,1.069743132,1.089765043,1.032821897,1.046932057
1.1322,1.044720168,1.009768929,1.06974406,1.08976634,1.032822721,1.046932917
1.14885,1.044720791,1.009769796,1.069744978,1.089767629,1.032823536,1.046933767
1.1655,1.044721408,1.009770655,1.069745888,1.089768909,1.032824343,1.046934608
1.18215,1.044722021,1.009771504,1.069746788,1.089770181,1.032825141,1.046935439
1.1988,1.04472263,1.009772345,1.069747678,1.089771444,1.03282593,1.046936262
1.21545,1.044723233,1.009773176,1.069748559,1.089772699,1.03282671,1.046937075
1.2321,1.044723832,1.009773999,1.069749431,1.089773945,1.032827481,1.046937879
