Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
0.01665,1.044615199,1.009566786,1.069526104,1.089597705,1.032618845,1.046712833
0.0333,1.044614889,1.009566293,1.06952561,1.089597274,1.032618396,1.046712352
0.04995,1.044614578,1.009565799,1.069525116,1.089596842,1.032617947,1.046711872
0.0666,1.044614267,1.009565305,1.069524621,1.089596408,1.032617498,1.046711391
0.08325,1.044613956,1.00956481,1.069524127,1.089595974,1.032617049,1.04671091
0.0999,1.044613644,1.009564316,1.069523632,1.089595538,1.0326166,1.046710429
0.11655,1.044613333,1.009563821,1.069523136,1.089595102,1.03261615,1.046709947
0.1332,1.044613021,1.009563326,1.069522641,1.089594664,1.032615701,1.046709466
0.14985,1.044612708,1.009562831,1.069522146,1.089594226,1.032615251,1.046708985
0.1665,1.044612396,1.009562335,1.06952165,1.089593786,1.032614802,1.046708504
0.18315,1.044612083,1.00956184,1.069521155,1.089593346,1.032614352,1.046708022
0.1998,1.04461177,1.009561345,1.069520659,1.089592904,1.032613902,1.046707541
0.21645,1.044611457,1.009560849,1.069520163,1.089592462,1.032613452,1.04670706
0.2331,1.044611144,1.009560354,1.069519667,1.089592019,1.032613003,1.046706579
0.24975,1.044610831,1.009559858,1.069519172,1.089591575,1.032612553,1.046706097
0.2664,1.044610517,1.009559363,1.069518676,1.08959113,1.032612103,1.046705616
0.28305,1.044610204,1.009558867,1.06951818,1.089590684,1.032611654,1.046705136
0.2997,1.04460989,1.009558372,1.069517685,1.089590237,1.032611204,1.046704655
0.31635,1.044609576,1.009557876,1.069517189,1.08958979,1.032610755,1.046704174
0.333,1.044609262,1.009557381,1.069516694,1.089589341,1.032610306,1.046703694
0.34965,1.044608948,1.009556886,1.069516198,1.089588892,1.032609856,1.046703214
0.3663,1.044608634,1.009556391,1.069515703,1.089588443,1.032609407,1.046702734
0.38295,1.04460832,1.009555896,1.069515208,1.089587992,1.032608959,1.046702254
0.3996,1.044608006,1.009555401,1.069514713,1.089587541,1.03260851,1.046701775
0.41625,1.044607692,1.009554906,1.069514219,1.089587089,1.032608062,1.046701296
0.4329,1.044607378,1.009554412,1.069513724,1.089586636,1.032607613,1.046700817
0.44955,1.044607064,1.009553918,1.06951323,1.089586183,1.032607165,1.046700338
0.4662,1.04460675,1.009553424,1.069512736,1.089585729,1.032606718,1.04669986
0.48285,1.044606436,1.00955293,1.069512242,1.089585274,1.03260627,1.046699382
0.4995,1.044606122,1.009552437,1.069511749,1.089584819,1.032605823,1.046698905
0.51615,1.044605808,1.009551944,1.069511256,1.089584363,1.032605377,1.046698428
0.5328,1.044605494,1.009551451,1.069510763,1.089583907,1.03260493,1.046697951
0.54945,1.044605181,1.009550959,1.069510271,1.08958345,1.032604484,1.046697475
0.5661,1.044604867,1.009550467,1.069509779,1.089582993,1.032604038,1.046696999
0.58275,1.044604553,1.009549975,1.069509288,1.089582535,1.032603593,1.046696524
0.5994,1.04460424,1.009549484,1.069508797,1.089582076,1.032603148,1.046696049
0.61605,1.044603927,1.009548993,1.069508306,1.089581618,1.032602704,1.046695575
